"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-01",,,"24.9","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-02",,,"21.8","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-03",,,"23.7","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-04",,,"25.4","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-05",,,"28.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-06",,,"24.3","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-07",,,"24.6","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-08",,,"22.8","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-09",,,"21.3","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-10",,,"22.3","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-11",,,"24.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-12",,,"23.3","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-13",,,"24.5","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-14",,,"24.8","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-15",,,"24.1","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-16",,,"24.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-17",,,"25.7","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-18",,,"24.9","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-19",,,"25.4","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-20",,,"26.3","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-21",,,"27.6","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-22",,,"29.2","H,,S",,,,
"BR00D8-0390","PRESIDENTE PRUDENTE, BR","-22.117","-51.383","450.0","2018-01-23",,,"30.0","H,,S",,,,
