--------------------
BDMEP - INMET
--------------------
Estação           : ARCOVERDE - PE (OMM: 82890)
Latitude  (graus) : -8.41
Longitude (graus) : -37.08
Altitude  (metros): 680.70
Estação Operante
Inicio de operação: 01/02/1973
Periodo solicitado dos dados: 01/01/2000 a 12/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;
82890;01/01/2000;0000;;28.9;;10.9;59;
82890;01/01/2000;1200;0;;17;;;
82890;02/01/2000;0000;;30.2;;11.3;82;
82890;02/01/2000;1200;0;;18.2;;;
82890;03/01/2000;0000;;30.4;;8.8;81.75;
82890;03/01/2000;1200;0;;19.7;;;
82890;04/01/2000;0000;;26.2;;1.1;91;
82890;04/01/2000;1200;0;;19;;;
82890;05/01/2000;0000;;29.4;;9.2;83.5;
82890;05/01/2000;1200;2.3;;18.6;;;
82890;06/01/2000;0000;;27.6;;1.3;90;
82890;06/01/2000;1200;0;;19.4;;;
82890;07/01/2000;0000;;27.2;;2.6;88;
82890;07/01/2000;1200;6.8;;19.8;;;
82890;08/01/2000;0000;;28.4;;6.5;93.25;
82890;08/01/2000;1200;0;;19.4;;;
82890;09/01/2000;0000;;26.4;;3.1;89;
82890;09/01/2000;1200;13.3;;18.2;;;
82890;10/01/2000;0000;;28.2;;10.5;82.5;
82890;10/01/2000;1200;0.2;;18.8;;;
82890;11/01/2000;0000;;28.8;;11.5;81.75;
82890;11/01/2000;1200;0;;16.4;;;
82890;12/01/2000;0000;;29.4;;10.8;85.25;
82890;12/01/2000;1200;0;;18;;;
82890;13/01/2000;0000;;29.4;;7.6;81.5;
82890;13/01/2000;1200;4.4;;20.2;;;
82890;14/01/2000;0000;;29;;6.1;89;
82890;14/01/2000;1200;0;;20;;;
82890;15/01/2000;0000;;26.7;;1.3;90.5;
82890;15/01/2000;1200;1.3;;18.2;;;
82890;16/01/2000;0000;;30.2;;9.3;76;
82890;16/01/2000;1200;0;;19;;;
82890;17/01/2000;0000;;32;;11.5;78.5;
82890;17/01/2000;1200;0;;19.2;;;
82890;18/01/2000;0000;;31.6;;11.4;78.5;
82890;18/01/2000;1200;0;;20.6;;;
82890;19/01/2000;0000;;31.6;;9.1;78.5;
82890;19/01/2000;1200;0;;20;;;
82890;20/01/2000;0000;;31.6;;7.8;77.25;
82890;20/01/2000;1200;0;;20.4;;;
82890;21/01/2000;0000;;30.2;;1.8;83;
82890;21/01/2000;1200;1.2;;21;;;
82890;22/01/2000;0000;;32.2;;5.7;81.75;
82890;22/01/2000;1200;0;;20.2;;;
82890;23/01/2000;0000;;30.8;;10;74.75;
82890;23/01/2000;1200;13.8;;20;;;
82890;24/01/2000;0000;;31.8;;10.9;71.5;
82890;24/01/2000;1200;0;;18.6;;;
82890;25/01/2000;0000;;32.4;;11.5;67.75;
82890;25/01/2000;1200;0;;18;;;
82890;26/01/2000;0000;;33;;10.7;70;
82890;26/01/2000;1200;0;;19.8;;;
82890;27/01/2000;0000;;33.4;;11.1;67.25;
82890;27/01/2000;1200;0;;24.2;;;
82890;28/01/2000;0000;;35.4;;11.2;63;
82890;28/01/2000;1200;0;;24;;;
82890;29/01/2000;0000;;33.2;;11.4;68;
82890;29/01/2000;1200;0;;18.8;;;
82890;30/01/2000;0000;;31.6;;8.9;70.25;
82890;30/01/2000;1200;0;;19.9;;;
82890;31/01/2000;0000;;32.4;;9.2;69;
82890;31/01/2000;1200;0;;19.4;;;
82890;01/02/2000;0000;;33.6;;9.2;71;
82890;01/02/2000;1200;0;;19.6;;;
82890;02/02/2000;0000;;34.4;;7.4;75;
82890;02/02/2000;1200;0;;20;;;
82890;03/02/2000;0000;;33.4;;6.7;61;
82890;03/02/2000;1200;0;;21.6;;;
82890;04/02/2000;0000;;29.8;;1.2;76.5;
82890;04/02/2000;1200;0;;21.7;;;
82890;05/02/2000;0000;;33.4;;10.3;65.5;
82890;05/02/2000;1200;0;;21.2;;;
82890;06/02/2000;0000;;33.4;;9.3;77;
82890;06/02/2000;1200;0;;18;;;
82890;07/02/2000;0000;;33.2;;10.6;81.5;
82890;07/02/2000;1200;0;;20;;;
82890;08/02/2000;0000;;33.4;;6.6;80.25;
82890;08/02/2000;1200;0;;20.1;;;
82890;09/02/2000;0000;;33.4;;10.8;70;
82890;09/02/2000;1200;0.6;;19.4;;;
82890;10/02/2000;0000;;31.4;;6.2;73.5;
82890;10/02/2000;1200;0;;20.2;;;
82890;11/02/2000;0000;;31.6;;9.4;73.5;
82890;11/02/2000;1200;0;;19.6;;;
82890;12/02/2000;0000;;32.6;;11.1;68.75;
82890;12/02/2000;1200;0;;17.4;;;
82890;13/02/2000;0000;;32;;6.8;84.25;
82890;13/02/2000;1200;0;;20;;;
82890;14/02/2000;0000;;27.4;;2.9;82.75;
82890;14/02/2000;1200;9;;19;;;
82890;15/02/2000;0000;;27;;2.6;91.5;
82890;15/02/2000;1200;0.9;;19.2;;;
82890;16/02/2000;0000;;29.8;;3.1;94.75;
82890;16/02/2000;1200;1.7;;19.7;;;
82890;17/02/2000;0000;;29.4;;6.3;91.75;
82890;17/02/2000;1200;22.8;;18.4;;;
82890;18/02/2000;0000;;30;;10.2;81.25;
82890;18/02/2000;1200;1.3;;19.2;;;
82890;19/02/2000;0000;;30.2;;9.6;83.5;
82890;19/02/2000;1200;0;;18.6;;;
82890;20/02/2000;0000;;28;;5;85;
82890;20/02/2000;1200;0.1;;19.4;;;
82890;21/02/2000;0000;;28.8;;8.8;87;
82890;21/02/2000;1200;0.5;;19;;;
82890;22/02/2000;0000;;29.6;;8.9;84.5;
82890;22/02/2000;1200;14.6;;19.2;;;
82890;23/02/2000;0000;;29.2;;4.6;93.25;
82890;23/02/2000;1200;0.3;;20.2;;;
82890;24/02/2000;0000;;29.3;;9.6;83.75;
82890;24/02/2000;1200;31.7;;19.4;;;
82890;25/02/2000;0000;;29.2;;8.8;82;
82890;25/02/2000;1200;0;;18.4;;;
82890;26/02/2000;0000;;30.2;;9.8;84.5;
82890;26/02/2000;1200;0;;17.2;;;
82890;27/02/2000;0000;;30.2;;9.5;82.5;
82890;27/02/2000;1200;0;;20;;;
82890;28/02/2000;0000;;30;;8.2;77;
82890;28/02/2000;1200;0;;18.8;;;
82890;29/02/2000;0000;;29.2;;6.1;82.5;
82890;29/02/2000;1200;0;;18.4;;;
82890;01/03/2000;0000;;30.6;;6.7;83.5;
82890;01/03/2000;1200;0.5;;19.6;;;
82890;02/03/2000;0000;;30.6;;7.1;82.25;
82890;02/03/2000;1200;0;;19.8;;;
82890;03/03/2000;0000;;29.7;;4.3;79.5;
82890;03/03/2000;1200;0;;19.2;;;
82890;04/03/2000;0000;;31.4;;7.4;87.75;
82890;04/03/2000;1200;0;;20.6;;;
82890;05/03/2000;0000;;29.8;;9.3;80.5;
82890;05/03/2000;1200;16;;19.3;;;
82890;06/03/2000;0000;;30.2;;8.8;80;
82890;06/03/2000;1200;3;;18.8;;;
82890;07/03/2000;0000;;30.6;;6.8;92.25;
82890;07/03/2000;1200;0;;19.1;;;
