--------------------
BDMEP - INMET
--------------------
Estação           : CABROBO - PE (OMM: 82886)
Latitude  (graus) : -8.51
Longitude (graus) : -39.33
Altitude  (metros): 341.46
Estação Operante
Inicio de operação: 17/10/1927
Periodo solicitado dos dados: 01/01/2017 a 12/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;
82886;01/01/2017;1200;0;
82886;02/01/2017;1200;0;
82886;03/01/2017;1200;0;
82886;04/01/2017;1200;0;
82886;05/01/2017;1200;0;
82886;06/01/2017;1200;0;
82886;07/01/2017;1200;0;
82886;08/01/2017;1200;0;
82886;09/01/2017;1200;0;
82886;10/01/2017;1200;0;
82886;11/01/2017;1200;0;
82886;12/01/2017;1200;0;
82886;13/01/2017;1200;0;
82886;14/01/2017;1200;0;
82886;15/01/2017;1200;0;
82886;16/01/2017;1200;0;
82886;17/01/2017;1200;0;
82886;18/01/2017;1200;0;
82886;19/01/2017;1200;0;
82886;20/01/2017;1200;0;
82886;21/01/2017;1200;0;
82886;22/01/2017;1200;0;
82886;23/01/2017;1200;0;
82886;24/01/2017;1200;0;
82886;25/01/2017;1200;0;
82886;26/01/2017;1200;0;
82886;27/01/2017;1200;0;
82886;28/01/2017;1200;0;
82886;29/01/2017;1200;0;
82886;30/01/2017;1200;0;
82886;31/01/2017;1200;0;
82886;01/02/2017;1200;0;
82886;02/02/2017;1200;0;
82886;03/02/2017;1200;0;
82886;04/02/2017;1200;0;
82886;05/02/2017;1200;0;
82886;06/02/2017;1200;0;
82886;07/02/2017;1200;0;
82886;08/02/2017;1200;0;
82886;09/02/2017;1200;0.8;
82886;10/02/2017;1200;23;
82886;11/02/2017;1200;0;
82886;12/02/2017;1200;0;
82886;13/02/2017;1200;0;
82886;14/02/2017;1200;22.4;
82886;15/02/2017;1200;0;
82886;16/02/2017;1200;0;
82886;17/02/2017;1200;0;
82886;18/02/2017;1200;0;
82886;19/02/2017;1200;0;
82886;20/02/2017;1200;0;
82886;21/02/2017;1200;41.6;
82886;22/02/2017;1200;0;
82886;23/02/2017;1200;0;
82886;24/02/2017;1200;0;
82886;25/02/2017;1200;0;
82886;26/02/2017;1200;0;
82886;27/02/2017;1200;0;
82886;28/02/2017;1200;6.2;
82886;01/03/2017;1200;0;
82886;02/03/2017;1200;0;
82886;03/03/2017;1200;0;
82886;04/03/2017;1200;0;
82886;05/03/2017;1200;0;
82886;06/03/2017;1200;0;
82886;07/03/2017;1200;0;
82886;08/03/2017;1200;1.7;
82886;09/03/2017;1200;0;
82886;10/03/2017;1200;0;
82886;11/03/2017;1200;0;
82886;12/03/2017;1200;0;
82886;13/03/2017;1200;0;
82886;14/03/2017;1200;0;
82886;15/03/2017;1200;0;
82886;16/03/2017;1200;0;
82886;17/03/2017;1200;0;
82886;18/03/2017;1200;4;
82886;19/03/2017;1200;0;
82886;20/03/2017;1200;0;
82886;21/03/2017;1200;0;
82886;22/03/2017;1200;0;
82886;23/03/2017;1200;0;
82886;24/03/2017;1200;0;
82886;25/03/2017;1200;0;
82886;26/03/2017;1200;0;
82886;27/03/2017;1200;0.5;
82886;28/03/2017;1200;0;
82886;29/03/2017;1200;0.2;
82886;30/03/2017;1200;0;
82886;31/03/2017;1200;10.4;
82886;01/04/2017;1200;0;
82886;02/04/2017;1200;0;
82886;03/04/2017;1200;0;
82886;04/04/2017;1200;0;
82886;05/04/2017;1200;0;
82886;06/04/2017;1200;0;
82886;07/04/2017;1200;0;
82886;08/04/2017;1200;0;
82886;09/04/2017;1200;0;
82886;10/04/2017;1200;0.2;
82886;11/04/2017;1200;0;
82886;12/04/2017;1200;2.6;
82886;13/04/2017;1200;0;
82886;14/04/2017;1200;0;
82886;15/04/2017;1200;11.6;
82886;16/04/2017;1200;1;
82886;17/04/2017;1200;0;
82886;18/04/2017;1200;0;
82886;19/04/2017;1200;0;
82886;20/04/2017;1200;0;
82886;21/04/2017;1200;0;
82886;22/04/2017;1200;0;
82886;23/04/2017;1200;0;
82886;24/04/2017;1200;0;
82886;25/04/2017;1200;0;
82886;26/04/2017;1200;0;
82886;27/04/2017;1200;0;
82886;28/04/2017;1200;0;
82886;29/04/2017;1200;0;
82886;30/04/2017;1200;1.2;
82886;01/05/2017;1200;0.2;
82886;02/05/2017;1200;0;
82886;03/05/2017;1200;0;
82886;04/05/2017;1200;1;
82886;05/05/2017;1200;1.1;
82886;06/05/2017;1200;0;
82886;07/05/2017;1200;0;
82886;08/05/2017;1200;0;
82886;09/05/2017;1200;0;
82886;10/05/2017;1200;0;
82886;11/05/2017;1200;0;
82886;12/05/2017;1200;0;
82886;13/05/2017;1200;0;
82886;14/05/2017;1200;0;
82886;15/05/2017;1200;0;
82886;16/05/2017;1200;0;
82886;17/05/2017;1200;0;
82886;18/05/2017;1200;0;
82886;19/05/2017;1200;0;
82886;20/05/2017;1200;0;
82886;21/05/2017;1200;0;
82886;22/05/2017;1200;0;
82886;23/05/2017;1200;1.7;
82886;24/05/2017;1200;0.1;
82886;25/05/2017;1200;0.5;
82886;26/05/2017;1200;0.6;
82886;27/05/2017;1200;0;
82886;28/05/2017;1200;0;
82886;29/05/2017;1200;0;
82886;30/05/2017;1200;0;
82886;31/05/2017;1200;0.2;
82886;01/06/2017;1200;16.2;
82886;02/06/2017;1200;2.9;
82886;03/06/2017;1200;2.4;
82886;04/06/2017;1200;4.2;
82886;05/06/2017;1200;0.1;
82886;06/06/2017;1200;0;
82886;07/06/2017;1200;0;
82886;08/06/2017;1200;0.6;
82886;09/06/2017;1200;0;
82886;10/06/2017;1200;0;
82886;11/06/2017;1200;0;
82886;12/06/2017;1200;0;
82886;13/06/2017;1200;1;
82886;14/06/2017;1200;1.4;
82886;15/06/2017;1200;0;
82886;16/06/2017;1200;0.6;
82886;17/06/2017;1200;0;
82886;18/06/2017;1200;0;
82886;19/06/2017;1200;12.4;
82886;20/06/2017;1200;0;
82886;21/06/2017;1200;0.4;
82886;22/06/2017;1200;0;
82886;23/06/2017;1200;1;
82886;24/06/2017;1200;0.8;
82886;25/06/2017;1200;0;
82886;26/06/2017;1200;0;
82886;27/06/2017;1200;0;
82886;28/06/2017;1200;0;
82886;29/06/2017;1200;0;
82886;30/06/2017;1200;1;
