--------------------
BDMEP - INMET
--------------------
Estação           : CUIABA - MT (OMM: 83361)
Latitude  (graus) : -15.61
Longitude (graus) : -56.1
Altitude  (metros): 145.00
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2017 a 12/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;
83361;01/01/2017;0000;34.4;
83361;02/01/2017;0000;34.9;
83361;03/01/2017;0000;35.9;
83361;04/01/2017;0000;35;
83361;05/01/2017;0000;35.9;
83361;06/01/2017;0000;35.6;
83361;07/01/2017;0000;36.6;
83361;08/01/2017;0000;35.5;
83361;09/01/2017;0000;34.9;
83361;10/01/2017;0000;37.2;
83361;11/01/2017;0000;38.3;
83361;12/01/2017;0000;33.2;
83361;13/01/2017;0000;35.5;
83361;14/01/2017;0000;34.3;
83361;15/01/2017;0000;34.6;
83361;16/01/2017;0000;33.5;
83361;17/01/2017;0000;33.7;
83361;18/01/2017;0000;31.9;
83361;19/01/2017;0000;31.2;
83361;20/01/2017;0000;31.6;
83361;21/01/2017;0000;27.5;
83361;22/01/2017;0000;30.2;
83361;23/01/2017;0000;31.9;
83361;24/01/2017;0000;34.4;
83361;25/01/2017;0000;29.3;
83361;26/01/2017;0000;31.2;
83361;27/01/2017;0000;30.6;
83361;28/01/2017;0000;30.5;
83361;29/01/2017;0000;32;
83361;30/01/2017;0000;32.9;
83361;31/01/2017;0000;33.5;
83361;01/02/2017;0000;33.5;
83361;02/02/2017;0000;30.6;
83361;03/02/2017;0000;33.5;
83361;04/02/2017;0000;34.4;
83361;05/02/2017;0000;33.4;
83361;06/02/2017;0000;34.1;
83361;07/02/2017;0000;28;
83361;08/02/2017;0000;33.6;
83361;09/02/2017;0000;34.8;
83361;10/02/2017;0000;31.4;
83361;11/02/2017;0000;30.4;
83361;12/02/2017;0000;29;
83361;13/02/2017;0000;30.9;
83361;14/02/2017;0000;28.4;
83361;15/02/2017;0000;31.7;
83361;16/02/2017;0000;33.2;
83361;17/02/2017;0000;31.4;
83361;18/02/2017;0000;34.9;
83361;19/02/2017;0000;33.9;
83361;20/02/2017;0000;35.1;
83361;21/02/2017;0000;33.4;
83361;22/02/2017;0000;34.8;
83361;23/02/2017;0000;35.4;
83361;24/02/2017;0000;35.4;
83361;25/02/2017;0000;29.5;
83361;26/02/2017;0000;33.4;
83361;27/02/2017;0000;33.2;
83361;28/02/2017;0000;32.4;
83361;01/03/2017;0000;32.1;
83361;02/03/2017;0000;31.3;
83361;03/03/2017;0000;32.5;
83361;04/03/2017;0000;34.5;
